id,path,purpose,format,dimensions,variant,source,license
ICON-EDIT,icons/edit.svg,Интерфейс / edit,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-TRASH,icons/trash.svg,Интерфейс / trash,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-CLOCK,icons/clock.svg,Интерфейс / clock,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-FILTER,icons/filter.svg,Интерфейс / filter,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-BELL,icons/bell.svg,Интерфейс / bell,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-EYE,icons/eye.svg,Интерфейс / eye,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-LINK,icons/link.svg,Интерфейс / link,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-COPY,icons/copy.svg,Интерфейс / copy,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-MORE,icons/more.svg,Интерфейс / more,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-MAP,icons/map.svg,Интерфейс / map,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-KEY,icons/key.svg,Интерфейс / key,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-TASK,icons/task.svg,Интерфейс / task,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-INFO,icons/info.svg,Интерфейс / info,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
BRAND-DARK,brand/wordmark-dark.svg,Логотип в шапке,SVG,276×48,dark,Оригинальный знак и набор Golos Text,Знак: материал проекта; шрифт: OFL 1.1
BRAND-LIGHT,brand/wordmark-light.svg,Логотип в шапке,SVG,276×48,light,Оригинальный знак и набор Golos Text,Знак: материал проекта; шрифт: OFL 1.1
BRAND-BLUE,brand/wordmark-blue.svg,Логотип в шапке,SVG,276×48,blue,Оригинальный знак и набор Golos Text,Знак: материал проекта; шрифт: OFL 1.1
BRAND-FAVICON,brand/favicon.svg,Иконка вкладки,SVG,32×32,Синий,Оригинальный знак,Материал проекта
BRAND-FAVICON-32,brand/favicon-32.png,Растровая иконка вкладки,PNG,32×32,Синий,Оригинальный знак,Материал проекта
BRAND-FAVICON-180,brand/favicon-180.png,Иконка домашнего экрана,PNG,180×180,Синий,Оригинальный знак,Материал проекта
FONT-GOLOS,fonts/GolosText-variable.ttf,Основной интерфейсный шрифт,TTF,wght 400–900,Кириллица + латиница,https://github.com/google/fonts/tree/main/ofl/golostext,SIL OFL 1.1; fonts/OFL.txt
