requirement_id,title,source_category,delivery_class,source_ids,source_urls,account_evidence_ids,verification_status,screen_id,screen_title,source_svg,preview_png,state_refs,responsive_refs,task_id,test_id,phase_registry,phase_backlog,task_dependencies,integration_links,adapter_task_ids,integration_ids,implementation_status,test_status,asset_link_status,variant_refs,variant_svg,variant_png
REQ-RES-002,"Карточка, изменение и перенос брони",documented,mandatory_parity,DOC-003,https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-03,Бронирование КК-1042,design/source/SCR-RES-03.svg,design/exports/SCR-RES-03.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-002,TEST-RES-002,P1,P1,TASK-RES-001,,,,not_started,not_run,present,VAR-RES-VERSION,design/source/VAR-RES-VERSION.svg,design/exports/VAR-RES-VERSION.png
REQ-RES-003,"Отмена, удаление из календаря и восстановление",documented,mandatory_parity,DOC-003;ACC-003,https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html;https://realtycalendar.ru/chessmate/,ACC-003,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-04,Отмена и восстановление,design/source/SCR-RES-04.svg,design/exports/SCR-RES-04.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-003,TEST-RES-003,P1,P1,TASK-RES-002,,,,not_started,not_run,present,,,
REQ-RES-004,Правила редактирования брони внешнего канала,documented,mandatory_parity,DOC-003;DOC-026,https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html;https://confluence.lan.realtycalendar.ru/kb/osobennosti-raboty-sinhronizatsii-s-kanalami-30958475.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-03,Бронирование КК-1042,design/source/SCR-RES-03.svg,design/exports/SCR-RES-03.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-004,TEST-RES-004,P3,P3,TASK-RES-002;TASK-INT-003,integrations/passports/INT-AVITO.md;integrations/passports/INT-SUTOCHNO.md,,,not_started,not_run,present,VAR-RES-VERSION,design/source/VAR-RES-VERSION.svg,design/exports/VAR-RES-VERSION.png
REQ-RES-005,История изменения брони,documented,mandatory_parity,DOC-003,https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-05,История бронирования,design/source/SCR-RES-05.svg,design/exports/SCR-RES-05.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-005,TEST-RES-005,P1,P1,TASK-OBJ-004;TASK-RTE-001;TASK-GST-001,,,,not_started,not_run,present,,,
REQ-RES-006,Реестр броней и расписание заездов/выездов,account,mandatory_parity,DOC-001;DOC-012;ACC-005;ACC-006,https://new.realtycalendar.ru/products/booking;https://confluence.lan.realtycalendar.ru/kb/razdel-klienty-30957160.html;https://realtycalendar.ru/chessmate/,ACC-005;ACC-006,Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись,SCR-RES-01,Реестр бронирований,design/source/SCR-RES-01.svg,design/exports/SCR-RES-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-006,TEST-RES-006,P1,P1,TASK-OBJ-004;TASK-RTE-001;TASK-GST-001,,,,not_started,not_run,present,,,
REQ-RES-006,Реестр броней и расписание заездов/выездов,account,mandatory_parity,DOC-001;DOC-012;ACC-005;ACC-006,https://new.realtycalendar.ru/products/booking;https://confluence.lan.realtycalendar.ru/kb/razdel-klienty-30957160.html;https://realtycalendar.ru/chessmate/,ACC-005;ACC-006,Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись,SCR-RES-06,Заезды и выезды,design/source/SCR-RES-06.svg,design/exports/SCR-RES-06.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-006,TEST-RES-006,P1,P1,TASK-OBJ-004;TASK-RTE-001;TASK-GST-001,,,,not_started,not_run,present,,,
REQ-RES-007,Справочник источников,documented,mandatory_parity,DOC-004;ACC-007,https://confluence.lan.realtycalendar.ru/kb/istochniki-bronirovanij-30958511.html;https://realtycalendar.ru/chessmate/,ACC-007,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-07,Источники бронирования,design/source/SCR-RES-07.svg,design/exports/SCR-RES-07.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-007,TEST-RES-007,P1,P1,TASK-OBJ-004;TASK-RTE-001;TASK-GST-001,,,,not_started,not_run,present,,,
REQ-RES-008,Подборка объектов для гостя,documented,mandatory_parity,DOC-018,https://confluence.lan.realtycalendar.ru/kb/korzina-funktsiya-podborki-ob-ektov-razmeshcheniya-dlya-otpravki-gostyu-30957144.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-08,Подборка для гостя,design/source/SCR-RES-08.svg,design/exports/SCR-RES-08.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-008,TEST-RES-008,P2,P2,TASK-OBJ-002;TASK-RTE-011,,,,not_started,not_run,present,,,
REQ-RES-009,Публичный модуль прямого бронирования,documented,mandatory_parity,DOC-020,https://new.realtycalendar.ru/products/booking-module,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-09,Прямое бронирование,design/source/SCR-RES-09.svg,design/exports/SCR-RES-09.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-009,TEST-RES-009,P2,P2,TASK-RTE-011;TASK-CAL-007;TASK-GST-001,,,,not_started,not_run,present,,,
REQ-RES-010,Настройки виджета и публичной витрины,documented,mandatory_parity,DOC-020,https://new.realtycalendar.ru/products/booking-module,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-10,Модуль бронирования,design/source/SCR-RES-10.svg,design/exports/SCR-RES-10.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-010,TEST-RES-010,P2,P2,TASK-RES-009,,,,not_started,not_run,present,,,
REQ-RES-011,Партнерский каталог и взаимная видимость,documented,mandatory_parity,DOC-019;ACC-PART-01,https://confluence.lan.realtycalendar.ru/kb/potentsial-nye-partnery-30958636.html;https://realtycalendar.ru/chessmate/,ACC-PART-01,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-11,Партнёры и доступ,design/source/SCR-RES-11.svg,design/exports/SCR-RES-11.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-011,TEST-RES-011,P2,P2,TASK-RES-001;TASK-IAM-005,,,,not_started,not_run,present,,,
REQ-RES-012,Дополнительные услуги и заявки гостя,documented,mandatory_parity,DOC-024,https://new.realtycalendar.ru/products/autopilot,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-12,Дополнительные услуги,design/source/SCR-RES-12.svg,design/exports/SCR-RES-12.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-012,TEST-RES-012,P2,P2,TASK-OBJ-004;TASK-RTE-001;TASK-GST-001,,,,not_started,not_run,present,,,
REQ-RES-013,Фактическое заселение и выезд,documented,mandatory_parity,DOC-024,https://new.realtycalendar.ru/products/autopilot,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-06,Заезды и выезды,design/source/SCR-RES-06.svg,design/exports/SCR-RES-06.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-013,TEST-RES-013,P2,P2,TASK-OBJ-004;TASK-RTE-001;TASK-GST-001,,,,not_started,not_run,present,,,
REQ-OBJ-001,Карточка объекта и адрес,documented,mandatory_parity,DOC-005;ACC-OBJ-01,https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html;https://realtycalendar.ru/chessmate/,ACC-OBJ-01,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-OBJ-02,Карточка объекта,design/source/SCR-OBJ-02.svg,design/exports/SCR-OBJ-02.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-OBJ-001,TEST-OBJ-001,P1,P1,TASK-ORG-002;TASK-IAM-005,,,,not_started,not_run,present,,,
REQ-OBJ-002,"Фотографии, описание и удобства",documented,mandatory_parity,DOC-005;ACC-OBJ-01,https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html;https://realtycalendar.ru/chessmate/,ACC-OBJ-01,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-OBJ-02,Карточка объекта,design/source/SCR-OBJ-02.svg,design/exports/SCR-OBJ-02.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-OBJ-002,TEST-OBJ-002,P1,P1,TASK-ORG-002;TASK-IAM-005;TASK-OBJ-001,,,,not_started,not_run,present,,,
REQ-OBJ-003,Правила проживания и сведения для гостя,documented,mandatory_parity,DOC-005;DOC-024,https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html;https://new.realtycalendar.ru/products/autopilot,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-OBJ-03,Правила проживания,design/source/SCR-OBJ-03.svg,design/exports/SCR-OBJ-03.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-OBJ-003,TEST-OBJ-003,P1,P1,TASK-ORG-002;TASK-IAM-005;TASK-OBJ-001,,,,not_started,not_run,present,,,
REQ-OBJ-004,Категории и отдельные номера,documented,mandatory_parity,DOC-006,https://confluence.lan.realtycalendar.ru/kb/nomernoj-fond-30955555.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-OBJ-04,Номерной фонд и распределение,design/source/SCR-OBJ-04.svg,design/exports/SCR-OBJ-04.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-OBJ-004,TEST-OBJ-004,P1,P1,TASK-OBJ-001,,,,not_started,not_run,present,,,
REQ-OBJ-005,Распределение неразобранных броней фонда,documented,mandatory_parity,DOC-006,https://confluence.lan.realtycalendar.ru/kb/nomernoj-fond-30955555.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-OBJ-04,Номерной фонд и распределение,design/source/SCR-OBJ-04.svg,design/exports/SCR-OBJ-04.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-OBJ-005,TEST-OBJ-005,P2,P2,TASK-OBJ-004;TASK-RES-001;TASK-CAL-007,,,,not_started,not_run,present,,,
REQ-OBJ-006,Архивация и восстановление объектов,documented,mandatory_parity,DOC-014,https://confluence.lan.realtycalendar.ru/kb/rashody-30958622.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-OBJ-01,Объекты и номера,design/source/SCR-OBJ-01.svg,design/exports/SCR-OBJ-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-OBJ-006,TEST-OBJ-006,P2,P2,TASK-ORG-002;TASK-IAM-005;TASK-OBJ-001,,,,not_started,not_run,present,,,
REQ-OBJ-007,Объекты на карте,documented,mandatory_parity,DOC-020,https://new.realtycalendar.ru/products/booking-module,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-OBJ-05,Объекты на карте,design/source/SCR-OBJ-05.svg,design/exports/SCR-OBJ-05.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-OBJ-007,TEST-OBJ-007,P2,P2,TASK-ORG-002;TASK-IAM-005;TASK-OBJ-001,,,,not_started,not_run,present,,,
REQ-OBJ-008,"Служебные сведения, собственник и реквизиты",documented,mandatory_parity,DOC-005;DOC-028,https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html;https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yur-lits-i-ip-48432578.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-OBJ-06,Реквизиты объекта,design/source/SCR-OBJ-06.svg,design/exports/SCR-OBJ-06.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-OBJ-008,TEST-OBJ-008,P2,P2,TASK-ORG-002;TASK-IAM-005;TASK-OBJ-001,,,,not_started,not_run,present,,,
REQ-RTE-001,"Базовая цена, выходные и минимальный срок",documented,mandatory_parity,DOC-005;DOC-007;ACC-OBJ-01,https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html;https://confluence.lan.realtycalendar.ru/kb/prioritetnost-tsen-i-minimal-nyh-srokov-v-sisteme-realtycalendar-30957138.html;https://realtycalendar.ru/chessmate/,ACC-OBJ-01,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RTE-01,Базовые цены и скидки,design/source/SCR-RTE-01.svg,design/exports/SCR-RTE-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RTE-001,TEST-RTE-001,P1,P1,TASK-OBJ-001,,,,not_started,not_run,present,,,
REQ-RTE-002,Сезонные цены и привязка к объектам,documented,mandatory_parity,DOC-007;ACC-007,https://confluence.lan.realtycalendar.ru/kb/prioritetnost-tsen-i-minimal-nyh-srokov-v-sisteme-realtycalendar-30957138.html;https://realtycalendar.ru/chessmate/,ACC-007,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RTE-02,Сезоны,design/source/SCR-RTE-02.svg,design/exports/SCR-RTE-02.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RTE-002,TEST-RTE-002,P2,P2,TASK-OBJ-001;TASK-RTE-001,,,,not_started,not_run,present,,,
REQ-RTE-003,Спецусловия на отдельные дни,documented,mandatory_parity,DOC-008,https://confluence.lan.realtycalendar.ru/kb/spets-usloviya-osobennosti-nastrojka-i-redaktirovanie-v-desktopnoj-i-mobil-noj-versiyah-30955765.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RTE-03,Ограничения проживания,design/source/SCR-RTE-03.svg,design/exports/SCR-RTE-03.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RTE-003,TEST-RTE-003,P2,P2,TASK-OBJ-001;TASK-RTE-001,,,,not_started,not_run,present,VAR-RTE-INVALID,design/source/VAR-RTE-INVALID.svg,design/exports/VAR-RTE-INVALID.png
REQ-RTE-004,"Закрытие продаж, заезда и выезда",documented,mandatory_parity,DOC-008,https://confluence.lan.realtycalendar.ru/kb/spets-usloviya-osobennosti-nastrojka-i-redaktirovanie-v-desktopnoj-i-mobil-noj-versiyah-30955765.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RTE-03,Ограничения проживания,design/source/SCR-RTE-03.svg,design/exports/SCR-RTE-03.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RTE-004,TEST-RTE-004,P2,P2,TASK-OBJ-001;TASK-RTE-001,,,,not_started,not_run,present,VAR-RTE-INVALID,design/source/VAR-RTE-INVALID.svg,design/exports/VAR-RTE-INVALID.png
REQ-RTE-005,Массовое изменение цен и условий,documented,mandatory_parity,DOC-002;DOC-008;ACC-003,https://new.realtycalendar.ru/products;https://confluence.lan.realtycalendar.ru/kb/spets-usloviya-osobennosti-nastrojka-i-redaktirovanie-v-desktopnoj-i-mobil-noj-versiyah-30955765.html;https://realtycalendar.ru/chessmate/,ACC-003,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RTE-04,Массовое изменение цен,design/source/SCR-RTE-04.svg,design/exports/SCR-RTE-04.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RTE-005,TEST-RTE-005,P2,P2,TASK-OBJ-001;TASK-RTE-001,,,,not_started,not_run,present,VAR-RTE-PREVIEW,design/source/VAR-RTE-PREVIEW.svg,design/exports/VAR-RTE-PREVIEW.png
REQ-RTE-006,Динамический минимальный срок и окна,documented,mandatory_parity,DOC-007;DOC-006;ACC-007,https://confluence.lan.realtycalendar.ru/kb/prioritetnost-tsen-i-minimal-nyh-srokov-v-sisteme-realtycalendar-30957138.html;https://confluence.lan.realtycalendar.ru/kb/nomernoj-fond-30955555.html;https://realtycalendar.ru/chessmate/,ACC-007,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RTE-05,"Динамика, окна и горизонт",design/source/SCR-RTE-05.svg,design/exports/SCR-RTE-05.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RTE-006,TEST-RTE-006,P2,P2,TASK-OBJ-001;TASK-RTE-001,,,,not_started,not_run,present,,,
REQ-RTE-007,Скидки за длительность,documented,mandatory_parity,DOC-009,https://confluence.lan.realtycalendar.ru/kb/kak-ustanovit-skidki-na-srok-proyoivaniya-v-realtycalendar-30955856.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RTE-01,Базовые цены и скидки,design/source/SCR-RTE-01.svg,design/exports/SCR-RTE-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RTE-007,TEST-RTE-007,P2,P2,TASK-OBJ-001;TASK-RTE-001,,,,not_started,not_run,present,,,
