"requirement_id","realtycalendar_capability","keycalendar_requirement","screen_ids","phase","readiness_criteria","source_ids","source_urls","verification","account_scope","implementation_status","task_id","test_id"
"REQ-RES-003","Отмена/удаление освобождают даты; удаленную запись можно восстановить.","Отмена, удаление из календаря и восстановление","SCR-RES-04","P1","Отмена не создает автоматический возврат без отдельного платежного сценария | Восстановление на занятый номер открывает конфликт, а не подтверждает вторую бронь","DOC-003 | ACC-003","https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Сохраняемые настройки не переключались","not_started","TASK-RES-003","TEST-RES-003"
"REQ-RES-004","Локальные изменения не идут в OTA; отмену рекомендуют проводить в источнике.","Правила редактирования брони внешнего канала","SCR-RES-03","P3","Для канала без outbound update форма сообщает, что даты меняются в канале | Внешнее событие обновляет факт источника, сохраняя локальные заметки","DOC-003 | DOC-026","https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html | https://confluence.lan.realtycalendar.ru/kb/osobennosti-raboty-sinhronizatsii-s-kanalami-30958475.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RES-004","TEST-RES-004"
"REQ-RES-005","История включает изменения брони, гостя и платежей.","История изменения брони","SCR-RES-05","P1","Правка дат показывает старое/новое значение, автора, время и причину | Пользователь без контактов не видит старые контакты через историю","DOC-003","https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RES-005","TEST-RES-005"
"REQ-RES-006","В аккаунте просмотрены реестр броней и расписание заездов/выездов; выполнен штатный Excel-экспорт.","Реестр броней и расписание заездов/выездов","SCR-RES-01 | SCR-RES-06","P1","Бронь с заездом сегодня и выездом завтра попадает только в заезды сегодняшнего дня | Горничная видит только доступные объекты и разрешенные поля","DOC-001 | DOC-012 | ACC-005 | ACC-006","https://new.realtycalendar.ru/products/booking | https://confluence.lan.realtycalendar.ru/kb/razdel-klienty-30957160.html | https://realtycalendar.ru/chessmate/","Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись","Запись времени, файлов и примечаний Полнота истории и статусы выгруженных строк","not_started","TASK-RES-006","TEST-RES-006"
"REQ-RES-007","Есть системные/пользовательские источники и архивирование.","Справочник источников","SCR-RES-07","P1","Архивация убирает источник из нового выбора, сохраняя старые брони | Изменение аналитического источника не меняет внешний booking_id","DOC-004 | ACC-007","https://confluence.lan.realtycalendar.ru/kb/istochniki-bronirovanij-30958511.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверены действием все настройки, сотрудники и платные опции","not_started","TASK-RES-007","TEST-RES-007"
"REQ-RES-008","Корзина формирует подборку объектов/дат/цен и ссылку.","Подборка объектов для гостя","SCR-RES-08","P2","Занятый после создания вариант помечается недоступным и не продается | Открытие ссылки показывает только разрешенные фотографии, цены и условия","DOC-018","https://confluence.lan.realtycalendar.ru/kb/korzina-funktsiya-podborki-ob-ektov-razmeshcheniya-dlya-otpravki-gostyu-30957144.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RES-008","TEST-RES-008"
"REQ-RES-009","Поиск, список/карта, карточка, предоплата и подтверждение входят в модуль.","Публичный модуль прямого бронирования","SCR-RES-09","P2","Два гостя на последний номер не получают две подтвержденные брони | После отказа оплаты показан срок удержания и безопасный повтор","DOC-020","https://new.realtycalendar.ru/products/booking-module","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RES-009","TEST-RES-009"
"REQ-RES-010","Модуль доступен по ссылке/на сайте и настраивается в фирменных цветах.","Настройки виджета и публичной витрины","SCR-RES-10","P2","Убранный объект исчезает из новых поисков и не ломает существующую бронь | Предпросмотр не создает бронь и не отправляет аналитическое событие продажи","DOC-020","https://new.realtycalendar.ru/products/booking-module","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RES-010","TEST-RES-010"
"REQ-RES-011","Партнер видит доступность и цены, бронь появляется у владельца.","Партнерский каталог и взаимная видимость","SCR-RES-11","P2","Через каталог невозможно получить чужой список гостей/платежей | Заказ чужого объекта принадлежит владельцу, а отправитель видит только разрешенный статус","DOC-019 | ACC-PART-01","https://confluence.lan.realtycalendar.ru/kb/potentsial-nye-partnery-30958636.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Закрытая ссылка не публиковалась и не отправлялась; внешние права не тестировались","not_started","TASK-RES-011","TEST-RES-011"
"REQ-RES-012","Автопилот позволяет гостю заказать допуслугу; менеджер получает задачу.","Дополнительные услуги и заявки гостя","SCR-RES-12","P2","Двойное нажатие гостем создает одну заявку | Отмена проживания оставляет незавершенные услуги в очереди решения","DOC-024","https://new.realtycalendar.ru/products/autopilot","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RES-012","TEST-RES-012"
"REQ-RES-013","Автопилот меняет доступную гостю информацию по этапам проживания.","Фактическое заселение и выезд","SCR-RES-06","P2","Выезд создает единственную задачу уборки и не возвращает деньги сам по себе | Исправление факта оставляет исходное событие в аудите","DOC-024","https://new.realtycalendar.ru/products/autopilot","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RES-013","TEST-RES-013"
"REQ-OBJ-001","Создание включает адрес, карту, характеристики и служебные данные.","Карточка объекта и адрес","SCR-OBJ-02","P1","Объект без адреса/вместимости/часового пояса не публикуется | Два объекта с одинаковым адресом имеют разные ID и отдельную доступность | Окна заезда и выезда сохраняют известные границы; неизвестные остаются null","DOC-005 | ACC-OBJ-01","https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Полный экспорт объектов, удобств, фото и правил отсутствует","not_started","TASK-OBJ-001","TEST-OBJ-001"
"REQ-OBJ-002","Поддержаны фотографии с порядком/обложкой и удобства.","Фотографии, описание и удобства","SCR-OBJ-02","P1","После смены порядка ровно одна обложка отображается в витрине | Приватный файл нельзя получить через публичный URL объекта","DOC-005 | ACC-OBJ-01","https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Полный экспорт объектов, удобств, фото и правил отсутствует","not_started","TASK-OBJ-002","TEST-OBJ-002"
"REQ-OBJ-003","Объект хранит правила, а Автопилот показывает инструкции гостю.","Правила проживания и сведения для гостя","SCR-OBJ-03","P1","Новая редакция правил применяется к новым броням; старые сохраняют версию | Инструкция доступа недоступна до выполнения настроенного условия","DOC-005 | DOC-024","https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html | https://new.realtycalendar.ru/products/autopilot","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-OBJ-003","TEST-OBJ-003"
"REQ-OBJ-004","Фонд объединяет одинаковые номера с общими правилами и ценой.","Категории и отдельные номера","SCR-OBJ-04","P1","Категория с 3 номерами и 1 бронью имеет квоту 2 | Архивация номера с будущей бронью запрещена до ее переноса","DOC-006","https://confluence.lan.realtycalendar.ru/kb/nomernoj-fond-30955555.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-OBJ-004","TEST-OBJ-004"
"REQ-OBJ-005","Есть автоназначение и список неразобранных; такие брони уменьшают квоту.","Распределение неразобранных броней фонда","SCR-OBJ-04","P2","Без непрерывного номера новая прямая бронь не обещается; внешнее подтверждение попадает в очередь конфликта | Подтверждение provisional назначения не списывает квоту второй раз","DOC-006","https://confluence.lan.realtycalendar.ru/kb/nomernoj-fond-30955555.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-OBJ-005","TEST-OBJ-005"
"REQ-OBJ-006","Архивные объекты исключаются из создания расходов; восстановление возвращает выбор.","Архивация и восстановление объектов","SCR-OBJ-01","P2","Архив сохраняет платежи и статистику за прошлые периоды | Наличие будущей брони возвращает список блокирующих обязательств","DOC-014","https://confluence.lan.realtycalendar.ru/kb/rashody-30958622.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-OBJ-006","TEST-OBJ-006"
"REQ-OBJ-007","Прямой модуль поддерживает карту объектов с ценами.","Объекты на карте","SCR-OBJ-05","P2","При отказе картографического сервиса список и бронирование работают | Число вариантов карты соответствует текущим фильтрам списка","DOC-020","https://new.realtycalendar.ru/products/booking-module","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-OBJ-007","TEST-OBJ-007"
"REQ-OBJ-008","Документированы внутренний лот, менеджер, регистрационные и платежные сведения объекта.","Служебные сведения, собственник и реквизиты","SCR-OBJ-06","P2","Изменение реквизитов не меняет уже сформированный документ | Пользователь без финансовых прав не читает банковские реквизиты","DOC-005 | DOC-028","https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html | https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yur-lits-i-ip-48432578.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-OBJ-008","TEST-OBJ-008"
"REQ-RTE-001","Базовые цена/минимальный срок обязательны; поддержана цена выходного дня.","Базовая цена, выходные и минимальный срок","SCR-RTE-01","P1","Изменение базы не пересчитывает подтвержденную бронь | Тест пятница–понедельник складывает правильные цены трех ночей","DOC-005 | DOC-007 | ACC-OBJ-01","https://confluence.lan.realtycalendar.ru/kb/kak-dobavit-novyj-ob-ekt-v-vash-kalendar-30955652.html | https://confluence.lan.realtycalendar.ru/kb/prioritetnost-tsen-i-minimal-nyh-srokov-v-sisteme-realtycalendar-30957138.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Полный экспорт объектов, удобств, фото и правил отсутствует","not_started","TASK-RTE-001","TEST-RTE-001"
"REQ-RTE-002","Сезон необходимо привязать к объекту; он выше базы по приоритету.","Сезонные цены и привязка к объектам","SCR-RTE-02","P2","Непривязанный сезон не влияет на цену объекта | Смена сезона посреди проживания дает посуточный расчет без округления общей цены","DOC-007 | ACC-007","https://confluence.lan.realtycalendar.ru/kb/prioritetnost-tsen-i-minimal-nyh-srokov-v-sisteme-realtycalendar-30957138.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверены действием все настройки, сотрудники и платные опции","not_started","TASK-RTE-002","TEST-RTE-002"
"REQ-RTE-003","Можно переопределять отдельные значения на день и возвращать наследование.","Спецусловия на отдельные дни","SCR-RTE-03","P2","Override minStay оставляет цену базы/сезона действующей | Сброс цены не снимает запрет продаж, если он задан отдельно","DOC-008","https://confluence.lan.realtycalendar.ru/kb/spets-usloviya-osobennosti-nastrojka-i-redaktirovanie-v-desktopnoj-i-mobil-noj-versiyah-30955765.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RTE-003","TEST-RTE-003"
"REQ-RTE-004","Три ограничения различаются; поддержка каналами неодинакова.","Закрытие продаж, заезда и выезда","SCR-RTE-03","P2","Проживание через CTA-день разрешено при открытых ночах | Перед публикацией отображается, какие каналы передадут ограничение иначе","DOC-008","https://confluence.lan.realtycalendar.ru/kb/spets-usloviya-osobennosti-nastrojka-i-redaktirovanie-v-desktopnoj-i-mobil-noj-versiyah-30955765.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RTE-004","TEST-RTE-004"
"REQ-RTE-005","Есть групповое редактирование цен/условий.","Массовое изменение цен и условий","SCR-RTE-04","P2","Повтор отправки +10% с тем же ключом не увеличивает цену еще раз | Недоступный объект не изменен; результат отражает каждую строку","DOC-002 | DOC-008 | ACC-003","https://new.realtycalendar.ru/products | https://confluence.lan.realtycalendar.ru/kb/spets-usloviya-osobennosti-nastrojka-i-redaktirovanie-v-desktopnoj-i-mobil-noj-versiyah-30955765.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Сохраняемые настройки не переключались","not_started","TASK-RTE-005","TEST-RTE-005"
"REQ-RTE-006","Динамические ограничения и окна входят в приоритеты; окна фонда не поддержаны.","Динамический минимальный срок и окна","SCR-RTE-05","P2","После отмены соседней брони окно пересчитывается | Для фонда переключатель окна недоступен с пояснением до отдельного решения","DOC-007 | DOC-006 | ACC-007","https://confluence.lan.realtycalendar.ru/kb/prioritetnost-tsen-i-minimal-nyh-srokov-v-sisteme-realtycalendar-30957138.html | https://confluence.lan.realtycalendar.ru/kb/nomernoj-fond-30955555.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверены действием все настройки, сотрудники и платные опции","not_started","TASK-RTE-006","TEST-RTE-006"
"REQ-RTE-007","Есть несколько порогов скидки и отдельная сезонная настройка.","Скидки за длительность","SCR-RTE-01 | SCR-RTE-02","P2","При 14 ночах выбирается согласованный более выгодный порог | Цена после скидки не отрицательна; источник скидки виден в breakdown","DOC-009","https://confluence.lan.realtycalendar.ru/kb/kak-ustanovit-skidki-na-srok-proyoivaniya-v-realtycalendar-30955856.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RTE-007","TEST-RTE-007"
"REQ-RTE-008","Есть доплата сверх включенных гостей; модуль заявляет детские тарифы.","Доплата за взрослых и детские условия","SCR-RTE-06","P2","2 включенных+1 дополнительный на 3 ночи дают 3 доплаты | Неизвестный возраст показывает необходимость уточнения и не подставляет льготу","DOC-010 | DOC-020","https://confluence.lan.realtycalendar.ru/kb/kak-ustanovit-natsenku-na-gostej-v-realtycalendar-30957089.html | https://new.realtycalendar.ru/products/booking-module","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RTE-008","TEST-RTE-008"
"REQ-RTE-009","Можно открывать тариф на период и применять наценку; дочерние цены считает OTA.","Тарифы и наценки каналов","SCR-RTE-07","P3","При базе 10000 и наценке 15% preview показывает 11500 | Для неуправляемого дочернего тарифа нет редактируемого обещания отправки","DOC-011 | ACC-RTE-01 | ACC-CHAN-01 | ACC-CHAN-02","https://confluence.lan.realtycalendar.ru/kb/gibkoe-upravlenie-tarifami-30955746.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Выборка одного объекта не описывает все значения аккаунта Право KeyCalendar на API, здоровье каждого соединения Значение кода не входит в материалы; новые подключения не выполнялись","not_started","TASK-RTE-009","TEST-RTE-009"
"REQ-RTE-010","Промокоды заявлены в модуле.","Промокоды прямого бронирования","SCR-RTE-08","P2","Два одновременных заказа на последнее использование дают не больше одного списания лимита | Отключенный код не меняет уже подтвержденную бронь","DOC-020","https://new.realtycalendar.ru/products/booking-module","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RTE-010","TEST-RTE-010"
"REQ-RTE-011","Источники значений и приоритеты задокументированы.","Объяснение итоговой цены","SCR-RTE-09","P1","Сумма строк совпадает с итогом до minor unit | На закрытую дату выдается причина недоступности без скрытого расчета продажи","DOC-007 | DOC-008","https://confluence.lan.realtycalendar.ru/kb/prioritetnost-tsen-i-minimal-nyh-srokov-v-sisteme-realtycalendar-30957138.html | https://confluence.lan.realtycalendar.ru/kb/spets-usloviya-osobennosti-nastrojka-i-redaktirovanie-v-desktopnoj-i-mobil-noj-versiyah-30955765.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RTE-011","TEST-RTE-011"
"REQ-GST-001","База создается из бронирований; есть поиск и показатели гостя.","Справочник гостей и поиск","SCR-GST-01","P1","Телефон +7 и 8 одного номера находят один набор кандидатов | Гость другой организации никогда не попадает в подсказку","DOC-012","https://confluence.lan.realtycalendar.ru/kb/razdel-klienty-30957160.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-GST-001","TEST-GST-001"
"REQ-GST-002","Доступны число/сумма броней и история проживания.","История и показатели гостя","SCR-GST-02","P1","Отмененная бронь не увеличивает число состоявшихся проживаний | Суммы по разным валютам не складываются в одну без курса","DOC-012","https://confluence.lan.realtycalendar.ru/kb/razdel-klienty-30957160.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-GST-002","TEST-GST-002"
"REQ-GST-003","Список клиентов можно выгрузить в Excel.","Экспорт базы гостей","SCR-GST-01","P2","Экспорт без права запрещен сервером | Имя начинающееся с = не исполняется как формула в полученном файле","DOC-012","https://confluence.lan.realtycalendar.ru/kb/razdel-klienty-30957160.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-GST-003","TEST-GST-003"
"REQ-GST-005","Автопилот предоставляет гостю страницу брони и инструкции.","Приватная страница гостя","SCR-GST-03","P2","Невалидный token не подтверждает существование брони | Отзыв ссылки блокирует чтение и действия, уже открытая страница обновляет состояние","DOC-024","https://new.realtycalendar.ru/products/autopilot","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-GST-005","TEST-GST-005"
"REQ-GST-006","Документированы фото документов и сбор паспортных сведений через страницу гостя.","Документы гостя и согласия","SCR-GST-04","P2","Файл другого гостя невозможно скачать подменой ID | Проверка содержит автора/время, исходный файл доступен только уполномоченной роли","DOC-001 | DOC-024","https://new.realtycalendar.ru/products/booking | https://new.realtycalendar.ru/products/autopilot","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-GST-006","TEST-GST-006"
"REQ-GST-007","Автопилот заявляет подписание онлайн-договора.","Договор и подтверждение условий","SCR-GST-05","P2","Повтор подтверждения возвращает прежний документ и время | Скачанная версия соответствует принятой редакции, а не текущему шаблону","DOC-024","https://new.realtycalendar.ru/products/autopilot","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-GST-007","TEST-GST-007"
"REQ-GST-008","Обзор упоминает выявление постоянных и нежелательных гостей; механика не раскрыта.","Заметки о госте и ограничения повторного приема","SCR-GST-02","P2","Сигнал отображается лишь при подтвержденном профиле, не по совпадению имени | Решение о приеме принимает разрешенная роль с аудируемой причиной","DOC-027","https://confluence.lan.realtycalendar.ru/kb/realtycalendar-zachem-on-vam-nuyoen-30954634.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-GST-008","TEST-GST-008"
"REQ-FIN-001","Ручная запись платежа выбирает сумму и учетный счет.","Учетные счета и ручные платежи","SCR-FIN-01 | SCR-FIN-02","P1","Два запроса с одним ключом создают одну проводку | Сторно сохраняет исходную операцию и уменьшает оплачено","DOC-013","https://confluence.lan.realtycalendar.ru/kb/otobrayoenie-zadolyoennosti-po-oplate-bronirovanij-30958541.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-FIN-001","TEST-FIN-001"
"REQ-FIN-002","Есть отдельные показатели долга и оплаты, ссылка оплату не заменяет.","Остаток, срок оплаты и переплата","SCR-FIN-02","P1","Созданная, но неоплаченная ссылка не уменьшает долг | При цене 10000, оплате 6000 и возврате 1000 остаток 5000","DOC-013 | ACC-005","https://confluence.lan.realtycalendar.ru/kb/otobrayoenie-zadolyoennosti-po-oplate-bronirovanij-30958541.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Запись времени, файлов и примечаний","not_started","TASK-FIN-002","TEST-FIN-002"
"REQ-FIN-003","Модуль и Монета поддерживают прием предоплаты.","Платежная ссылка и онлайн-предоплата","SCR-FIN-03","P3","Повтор webhook не удваивает деньги | При оплате отмененной брони создается задача решения без автоматического повторного заселения","DOC-020 | DOC-028 | ACC-PAY-01","https://new.realtycalendar.ru/products/booking-module | https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yur-lits-i-ip-48432578.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Платежи, идентификация мерчанта и фискализация","not_started","TASK-FIN-003","TEST-FIN-003"
"REQ-FIN-004","Список платежей фильтруется по датам, счетам, объектам и учетному списанию.","Реестр и сверка платежей","SCR-FIN-01","P1","Учетная отметка не создает API-запрос на списание денег | Итог реестра совпадает с суммой выбранных проводок по каждой валюте","DOC-013","https://confluence.lan.realtycalendar.ru/kb/otobrayoenie-zadolyoennosti-po-oplate-bronirovanij-30958541.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-FIN-004","TEST-FIN-004"
"REQ-FIN-005","Залог можно записать вручную или получить по ссылке.","Залог: ручной учет и онлайн-операция","SCR-FIN-04","P3","Ручной залог не считается платежом проживания | Карточка показывает режим средств и допустимые действия провайдера","DOC-015 | ACC-FIN-01 | ACC-PAY-01","https://confluence.lan.realtycalendar.ru/kb/zalog-30958547.html?selectedPageVersions=3&selectedPageVersions=4 | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Возврат, удержание, пополнение не выполнялись Платежи, идентификация мерчанта и фискализация","not_started","TASK-FIN-005","TEST-FIN-005"
