id,name,category,protocol,evidence,keycalendar_status,checked_at,source,passport
INT-WEBHOOKS,Исходящие webhook,developer,HTTP webhook,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/opisanie-webhook-30958558.html,passports/INT-WEBHOOKS.md
INT-WHATSAPP,WhatsApp в автосообщениях,messaging,RC session connection; official Business API for KeyCalendar unconfirmed,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/nastrojka-avtosoobshchenij-47087789.html,passports/INT-WHATSAPP.md
INT-MAX,MAX в автосообщениях,messaging,RC account connection; KeyCalendar transport unknown,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/nastrojka-avtosoobshchenij-47087789.html,passports/INT-MAX.md
INT-TELEGRAM,Telegram в автосообщениях,messaging,RC messaging; KeyCalendar Bot API proposed,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/nastrojka-avtosoobshchenij-47087789.html,passports/INT-TELEGRAM.md
INT-EMAIL,Email в автосообщениях,messaging,Email; provider unknown,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/nastrojka-avtosoobshchenij-47087789.html,passports/INT-EMAIL.md
INT-SMSGATE,SMS Gate / Android SMS,messaging,Android SMS gateway,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/nastrojka-otpravki-sms-v-avtosoobshcheniyah-s-android-telefona-61374606.html,passports/INT-SMSGATE.md
INT-REDATA,REDATA,pricing,partner API; KeyCalendar access pending,DOC + ACCOUNT available card (ACC-INT-01),external_access_pending,2026-09-24,https://redata.tech/integrations,passports/INT-REDATA.md
INT-YOOKASSA,ЮKassa,payment,REST API (provider); RC current connector unconfirmed,DOC marketing; current RC availability unknown,external_access_pending,2026-09-24,https://new.realtycalendar.ru/blog/kak-rabotaet-realtycalendar-7-instrumentov-sdachi-v-arendu,passports/INT-YOOKASSA.md
INT-KVARTIRKA-ICAL,Квартирка / kv.link (iCal),channel,iCal,ACCOUNT (ACC-CHAN-02) + DOC generic iCal,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-icalendar-30958453.html,passports/INT-KVARTIRKA-ICAL.md
INT-QQRENTA,api.qqrenta.ru,channel,unknown; observed channel label,ACCOUNT label only; provider protocol unknown,discovery_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-icalendar-30958453.html,passports/INT-QQRENTA.md
INT-ICAL,Универсальный iCalendar,calendar,iCal,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-icalendar-30958453.html,passports/INT-ICAL.md
INT-GAMI,Гами (заявление внешнего поставщика),developer,webhook + partner-link read + iCal return,DOC provider claim; RC official listing unconfirmed,external_access_pending,2026-09-24,https://gami.rent/realty-calendar,passports/INT-GAMI.md
INT-RENTYSOFT,RentySoft,access,unknown (historical mention only),HISTORICAL,discovery_pending,2026-09-24,https://new.realtycalendar.ru/blog/sistema-bronirovaniya-v-posutochnoj-arende,passports/INT-RENTYSOFT.md
INT-FLATSHARING,Flatsharing,access,unknown (historical mention only),HISTORICAL,discovery_pending,2026-09-24,https://new.realtycalendar.ru/release-system-rc,passports/INT-FLATSHARING.md
INT-KUKURENTA,Кукурента,channel,unknown (historical mention only),HISTORICAL,discovery_pending,2026-09-24,https://new.realtycalendar.ru/release-system-rc,passports/INT-KUKURENTA.md
INT-NOCHLEG24,Nochleg24,channel,unknown (historical mention only),HISTORICAL,discovery_pending,2026-09-24,https://new.realtycalendar.ru/release-system-rc,passports/INT-NOCHLEG24.md
INT-LOKAL,Локал,channel,unknown (historical mention only),HISTORICAL,discovery_pending,2026-09-24,https://new.realtycalendar.ru/release-system-rc,passports/INT-LOKAL.md
INT-KOMTET,Комтет,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-KOMTET.md
INT-BUSINESSRU,Бизнес.ру Онлайн-Чеки,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-BUSINESSRU.md
INT-CLOUDKASSIR,CloudKassir,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-CLOUDKASSIR.md
INT-LIFEPAY,Life Pay,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-LIFEPAY.md
INT-ATOL,Атол,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-ATOL.md
INT-EVOTOR,Эвотор,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-EVOTOR.md
INT-FERMA,Ferma,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-FERMA.md
INT-FIRSTOFD,Первый ОФД,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-FIRSTOFD.md
INT-KITONLINE,Kit online,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-KITONLINE.md
INT-ORANGEDATA,Orange Data,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-ORANGEDATA.md
INT-SBIS,СБИС,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-SBIS.md
INT-DIGITALKASSA,Digital Kassa,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-DIGITALKASSA.md
INT-MODULKASSA,МодульКасса,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-MODULKASSA.md
INT-PLATFORMAOFD,Платформа ОФД,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-PLATFORMAOFD.md
INT-TAXCOMOFD,Такском ОФД,fiscal_via_moneta,via Moneta/PayAnyWay; native wire protocol unconfirmed,DOC RC fiscal subprovider list; not native direct API evidence,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-TAXCOMOFD.md
