id,name,evidence_scope,reservation_direction,cancellation_direction,availability,rates,stop_sell,min_stay,cta_ctd,extra_guest,hotels,source
INT-OTELLO,Отелло,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-otello-30957267.html
INT-OZONTRAVEL,Ozon Travel,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,✔,✔,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-ozon-travel-48432657.html
INT-ROOMOOK,Roomook,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,x,x,x,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-roomook-30957205.html
INT-SUTOCHNO,Суточно.ру,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x ¹,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-sutochno-30958435.html
INT-TUTU,Туту,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-tutu-ru-30957166.html
INT-ROOMLINK,Roomlink (ранее Забронируй.ру),"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-roomlink-ranee-zabroniruj-ru-30957300.html
INT-VEZDEKAKDOMA,Везде как дома,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,x,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-vezde-kak-doma-30957279.html
INT-GDEKVARTIRA,ГдеКвартира.су,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,x,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-gdekvartira-su-30957256.html
INT-DOMKLIK24,Домклик24,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,x,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-domklik24-30957191.html
INT-ZHILIBYLI,ЖилиБыли,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-zhilibyli-30957272.html
INT-PRIVETTUR,ПриветТур!,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-privettur-30957198.html
INT-CBOOKING,Cbooking.ru,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,x,x,x,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-sbooking-30958388.html
INT-TVIL,ТВИЛ,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-tvil-ru-30958440.html
INT-YANDEXTRAVEL,Яндекс Путешествия,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,✔,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-yandeks-puteshestviya-39911704.html
INT-TRIPVENUE,Трипвеню,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-tripvenyu-30957185.html
INT-KURORTIX,Миртурбаз / Kurortix,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-mirturbaz-kurortix-43155582.html
INT-ALEAN,Алеан,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-alean-43155552.html
INT-LIGAKVARTIR,Лига Квартир,"RC documented capability, NOT KeyCalendar access",busy_intervals_only,feed_reconciliation_only,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-liga-kvartir-30958466.html
INT-AIRBNB,Airbnb,"RC documented capability, NOT KeyCalendar access",busy_intervals_only,feed_reconciliation_only,✔,x,✔,x,x,x,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-airbnb-30958460.html
INT-REALT,Realt,"RC documented capability, NOT KeyCalendar access",busy_intervals_only,feed_reconciliation_only,✔,x,✔,x,x,x,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-realt-48432785.html
INT-GOOGLECALENDAR,Google Calendar,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-google-calendar-30958455.html
INT-MONETA-PERSONAL,Монета для физических лиц,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-moneta-dlya-fizicheskih-lits-30958553.html
INT-MONETA-BUSINESS,Монета для ИП и юридических лиц,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-AMOCRM,amoCRM,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/opisanie-raboty-vidyoeta-realtycalendar-dlya-amocrm-30958606.html
INT-BITRIX24,Битрикс24,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/kak-rabotaet-vidyoet-realtycalendar-dlya-bitrix24-30958598.html
INT-OKIDOKI,ОкиДоки,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/integratsiya-s-okidoki-30958569.html
INT-TTLOCK,TTLock,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/integratsiya-s-ttlock-60162112.html
INT-ROOMSHARING,Roomsharing Norke,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/integratsiya-s-servisom-roomsharing-norke-30958576.html
INT-WEBHOOKS,Исходящие webhook,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/opisanie-webhook-30958558.html
INT-WHATSAPP,WhatsApp в автосообщениях,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/nastrojka-avtosoobshchenij-47087789.html
INT-MAX,MAX в автосообщениях,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/nastrojka-avtosoobshchenij-47087789.html
INT-TELEGRAM,Telegram в автосообщениях,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/nastrojka-avtosoobshchenij-47087789.html
INT-EMAIL,Email в автосообщениях,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/nastrojka-avtosoobshchenij-47087789.html
INT-SMSGATE,SMS Gate / Android SMS,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/nastrojka-otpravki-sms-v-avtosoobshcheniyah-s-android-telefona-61374606.html
INT-REDATA,REDATA,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://redata.tech/integrations
INT-YOOKASSA,ЮKassa,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://new.realtycalendar.ru/blog/kak-rabotaet-realtycalendar-7-instrumentov-sdachi-v-arendu
INT-KVARTIRKA-ICAL,Квартирка / kv.link (iCal),"RC documented capability, NOT KeyCalendar access",busy_intervals_only,feed_reconciliation_only,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-icalendar-30958453.html
INT-QQRENTA,api.qqrenta.ru,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-icalendar-30958453.html
INT-ICAL,Универсальный iCalendar,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-icalendar-30958453.html
INT-GAMI,Гами (заявление внешнего поставщика),"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://gami.rent/realty-calendar
INT-RENTYSOFT,RentySoft,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://new.realtycalendar.ru/blog/sistema-bronirovaniya-v-posutochnoj-arende
INT-FLATSHARING,Flatsharing,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://new.realtycalendar.ru/release-system-rc
INT-KUKURENTA,Кукурента,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://new.realtycalendar.ru/release-system-rc
INT-NOCHLEG24,Nochleg24,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://new.realtycalendar.ru/release-system-rc
INT-LOKAL,Локал,"RC documented capability, NOT KeyCalendar access",see_passport,see_passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,unknown_or_not_applicable; see passport,https://new.realtycalendar.ru/release-system-rc
INT-KOMTET,Комтет,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-BUSINESSRU,Бизнес.ру Онлайн-Чеки,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-CLOUDKASSIR,CloudKassir,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-LIFEPAY,Life Pay,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-ATOL,Атол,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-EVOTOR,Эвотор,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-FERMA,Ferma,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-FIRSTOFD,Первый ОФД,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-KITONLINE,Kit online,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-ORANGEDATA,Orange Data,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-SBIS,СБИС,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-DIGITALKASSA,Digital Kassa,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-MODULKASSA,МодульКасса,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-PLATFORMAOFD,Платформа ОФД,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
INT-TAXCOMOFD,Такском ОФД,RC fiscal compatibility only,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html
